Monday 09 December 2019 17:29,1420.7.1560,release/1420 (commit hash : 0xE4D4BBB3)
Binding,ImageBlocks-dialogs,ImageBlocks-schemas,Master-schemas,Gui-dialogs,TrueTouch,PrintServer,ImageBlocks-unittest
Messaging.receiveFunctions.DeleteFile,0,0,0,0,0,1,0
Messaging.receiveFunctions.Event,0,0,0,0,0,1,0
Messaging.receiveFunctions.ExistsFile,0,0,0,0,0,1,0
Messaging.receiveFunctions.GetFSObjectsFolder,0,0,0,0,0,1,0
Messaging.receiveFunctions.GetPrinterDrivers,0,0,0,0,0,1,0
Messaging.receiveFunctions.GetStatus,0,0,0,0,0,1,0
Messaging.receiveFunctions.ListFiles,0,0,0,0,0,1,0
Messaging.receiveFunctions.LoadFile,0,0,0,0,0,1,0
Messaging.receiveFunctions.PackageFull,0,0,0,0,0,1,0
Messaging.receiveFunctions.PrintByIdData,0,0,0,0,0,1,0
Messaging.receiveFunctions.PrintByIdRequest,0,0,0,0,0,1,0
Messaging.receiveFunctions.PrintLabel,0,0,0,0,0,1,0
Messaging.receiveFunctions.PrintRaw,0,0,0,0,0,1,0
Messaging.receiveFunctions.RemoveStatus,0,0,0,0,0,1,0
Messaging.receiveFunctions.RenameFile,0,0,0,0,0,1,0
Messaging.receiveFunctions.SaveFile,0,0,0,0,0,1,0
Messaging.receiveFunctions.SetStatus,0,0,0,0,0,1,0
Messaging.receiveFunctions.StatusUpdate,0,0,0,0,1,0,0
Messaging.receiveFunctions.TestLabel,0,0,0,0,0,1,0
Messaging.receiveFunctions.UploadImage,0,0,0,0,0,1,0
Messaging.server.OnAccept,0,0,0,0,1,1,0
Messaging.server.OnConnect,0,0,0,0,1,1,0
Messaging.server.connectFunc,0,0,0,0,0,1,0
NumberDialog,0,0,0,0,1,0,0
OkCancelDialog,0,0,0,0,1,0,0
OnConnect,0,0,0,0,0,1,0
OnCurrentPackageUpdate,0,0,0,0,0,1,0
OnDataProviderUpdate,0,0,0,0,1,0,0
OnDeleteFile,0,0,0,0,0,1,0
OnEchoReceived,0,0,0,0,0,1,0
OnEchoReplyReceived,0,0,0,0,0,1,0
OnEvent,0,0,0,0,0,1,0
OnExistsFile,0,0,0,0,0,1,0
OnGetFSObjectsFolder,0,0,0,0,0,1,0
OnGetPrinterDrivers,0,0,0,0,0,1,0
OnGetStatus,0,0,0,0,0,1,0
OnKeepAliveReceived,0,0,0,0,0,1,0
OnListFiles,0,0,0,0,0,1,0
OnLoadFile,0,0,0,0,0,1,0
OnPackageFull,0,0,0,0,0,1,0
OnPackageLabelInfoReceived,0,0,0,0,0,1,0
OnPackageLabelPrintReceived,0,0,0,0,0,1,0
OnPressControl,0,0,0,0,1,0,0
OnPrintByIdData,0,0,0,0,0,1,0
OnPrintByIdRequest,0,0,0,0,0,1,0
OnPrintLabel,0,0,0,0,0,1,0
OnPrintRaw,0,0,0,0,0,1,0
OnPrinterStateChanged,0,0,0,0,0,1,0
OnRemoveStatus,0,0,0,0,0,1,0
OnRenameFile,0,0,0,0,0,1,0
OnSaveFile,0,0,0,0,0,1,0
OnSetStatus,0,0,0,0,0,1,0
OnSystemConfigurationUpdate,0,0,0,0,0,1,0
OnTestLabel,0,0,0,0,0,1,0
OnUploadImage,0,0,0,0,0,1,0
PackExport.EnableHttpAccess,0,0,0,0,0,1,0
PackExport.LoadBackup,0,0,0,0,0,1,0
PackExport.RetrievePrintData,0,0,0,0,0,1,0
PackExport.StorePrintData,0,0,0,0,0,1,0
ParseLabel,0,0,0,0,0,1,0
PotatoTracker.CMotionModel.ConstCast,1,1,1,1,0,0,1
PotatoTracker.CMotionModel.IsValid,1,1,1,1,0,0,1
PotatoTracker.CMotionModel.New,1,1,1,1,0,0,1
PotatoTracker.CTrackerState.ConstCast,1,1,1,1,0,0,1
PotatoTracker.CTrackerState.IsValid,1,1,1,1,0,0,1
PotatoTracker.CTrackerState.New,1,1,1,1,0,0,1
PrintLabel,0,0,0,0,0,1,0
Printers.192.168.99.100.Device.CancelJob,0,0,0,0,0,1,0
Printers.192.168.99.100.Device.Connect,0,0,0,0,0,1,0
Printers.192.168.99.100.Device.DisableHttpAccess,0,0,0,0,0,1,0
Printers.192.168.99.100.Device.Disconnect,0,0,0,0,0,1,0
Printers.192.168.99.100.Device.EnableHttpAccess,0,0,0,0,0,1,0
Printers.192.168.99.100.Device.HardReset,0,0,0,0,0,1,0
Printers.192.168.99.100.Device.PrintLabel,0,0,0,0,0,1,0
Printers.192.168.99.100.Device.PrintRaw,0,0,0,0,0,1,0
Printers.192.168.99.100.Device.SetOnStateCB,0,0,0,0,0,1,0
Printers.192.168.99.100.Device.UploadImage,0,0,0,0,0,1,0
Profile.Start,0,1,1,0,0,0,0
Profile.Stop,0,1,1,0,0,0,0
Restart,0,0,0,0,1,0,0
